administration_type,government_institution,sector,project_name,project_description,gps_code,nature_of_investment,infrastructure_type,current_project_stage,sip_category,total_project_cost,br_featured,featured,financial_year,budget_phase,amount,project_slug
National,Basic Education,Social Services,School infrastructure backlogs grant,"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools",Not specified,New infrastructure assets,Eradication of inappropriate school infrastructure and provision of basic services to schools,Various,SIP 13:  National school build programme,9045389000,BR 2019,TRUE,2015,Audited Outcome,1368285000,basic-education-school-infrastructure-backlogs-grant
National,Basic Education,Social Services,School infrastructure backlogs grant,"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools",Not specified,New infrastructure assets,Eradication of inappropriate school infrastructure and provision of basic services to schools,Various,SIP 13:  National school build programme,9045389000,BR 2019,TRUE,2016,Audited Outcome,1049535000,basic-education-school-infrastructure-backlogs-grant
National,Basic Education,Social Services,School infrastructure backlogs grant,"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools",Not specified,New infrastructure assets,Eradication of inappropriate school infrastructure and provision of basic services to schools,Various,SIP 13:  National school build programme,9045389000,BR 2019,TRUE,2017,Audited Outcome,1617716000,basic-education-school-infrastructure-backlogs-grant
National,Basic Education,Social Services,School infrastructure backlogs grant,"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools",Not specified,New infrastructure assets,Eradication of inappropriate school infrastructure and provision of basic services to schools,Various,SIP 13:  National school build programme,9045389000,BR 2019,TRUE,2018,Adjusted Appropriation,2121045000,basic-education-school-infrastructure-backlogs-grant
National,Basic Education,Social Services,School infrastructure backlogs grant,"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools",Not specified,New infrastructure assets,Eradication of inappropriate school infrastructure and provision of basic services to schools,Various,SIP 13:  National school build programme,9045389000,BR 2019,TRUE,2019,MTEF,1869482000,basic-education-school-infrastructure-backlogs-grant
National,Basic Education,Social Services,School infrastructure backlogs grant,"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools",Not specified,New infrastructure assets,Eradication of inappropriate school infrastructure and provision of basic services to schools,Various,SIP 13:  National school build programme,9045389000,BR 2019,TRUE,2020,MTEF,1628591000,basic-education-school-infrastructure-backlogs-grant
National,Basic Education,Social Services,School infrastructure backlogs grant,"Replace 510 schools that have inappropriate infrastructure, of which 395 are mud schools; provide water to 1 120 schools, sanitation to 741 schools and electricity to 916 schools",Not specified,New infrastructure assets,Eradication of inappropriate school infrastructure and provision of basic services to schools,Various,SIP 13:  National school build programme,9045389000,BR 2019,TRUE,2021,MTEF,2190735000,basic-education-school-infrastructure-backlogs-grant
National,Health,Social Services,Eastern Cape: Bambisana hospital,Emergency repairs and revitalisation,"-31.45019, 29.45397",Maintenance and Upgrades,District Hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,700113000,BR 2019,TRUE,2015,Audited Outcome,155000,health-eastern-cape-bambisana-hospital
National,Health,Social Services,Eastern Cape: Bambisana hospital,Emergency repairs and revitalisation,"-31.45019, 29.45397",Maintenance and Upgrades,District Hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,700113000,BR 2019,TRUE,2016,Audited Outcome,14184000,health-eastern-cape-bambisana-hospital
National,Health,Social Services,Eastern Cape: Bambisana hospital,Emergency repairs and revitalisation,"-31.45019, 29.45397",Maintenance and Upgrades,District Hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,700113000,BR 2019,TRUE,2017,Audited Outcome,24708000,health-eastern-cape-bambisana-hospital
National,Health,Social Services,Eastern Cape: Bambisana hospital,Emergency repairs and revitalisation,"-31.45019, 29.45397",Maintenance and Upgrades,District Hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,700113000,BR 2019,TRUE,2018,Adjusted Appropriation,0,health-eastern-cape-bambisana-hospital
National,Health,Social Services,Eastern Cape: Bambisana hospital,Emergency repairs and revitalisation,"-31.45019, 29.45397",Maintenance and Upgrades,District Hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,700113000,BR 2019,TRUE,2019,MTEF,71700000,health-eastern-cape-bambisana-hospital
National,Health,Social Services,Eastern Cape: Bambisana hospital,Emergency repairs and revitalisation,"-31.45019, 29.45397",Maintenance and Upgrades,District Hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,700113000,BR 2019,TRUE,2020,MTEF,41819000,health-eastern-cape-bambisana-hospital
National,Health,Social Services,Eastern Cape: Bambisana hospital,Emergency repairs and revitalisation,"-31.45019, 29.45397",Maintenance and Upgrades,District Hospital,Design,SIP 12: Revitalisation of public hospitals and other health facilities,700113000,BR 2019,TRUE,2021,MTEF,58663000,health-eastern-cape-bambisana-hospital
National,Health,Social Services,Free State:  Dihlabeng hospital,Upgrades and maintenance of hospital,"-28.23317, 28.3197",Maintenance and Upgrades,District and regional hospitals,Construction,SIP 12: Revitalisation of public hospitals and other health facilities,312313000,BR 2019,TRUE,2015,Audited Outcome,7431000,health-free-state-dihlabeng-hospital
National,Health,Social Services,Free State:  Dihlabeng hospital,Upgrades and maintenance of hospital,"-28.23317, 28.3197",Maintenance and Upgrades,District and regional hospitals,Construction,SIP 12: Revitalisation of public hospitals and other health facilities,312313000,BR 2019,TRUE,2016,Audited Outcome,25426000,health-free-state-dihlabeng-hospital
National,Health,Social Services,Free State:  Dihlabeng hospital,Upgrades and maintenance of hospital,"-28.23317, 28.3197",Maintenance and Upgrades,District and regional hospitals,Construction,SIP 12: Revitalisation of public hospitals and other health facilities,312313000,BR 2019,TRUE,2017,Audited Outcome,8270000,health-free-state-dihlabeng-hospital
National,Health,Social Services,Free State:  Dihlabeng hospital,Upgrades and maintenance of hospital,"-28.23317, 28.3197",Maintenance and Upgrades,District and regional hospitals,Construction,SIP 12: Revitalisation of public hospitals and other health facilities,312313000,BR 2019,TRUE,2018,Adjusted Appropriation,18931000,health-free-state-dihlabeng-hospital
