government,department_name,vote_number,is_vote_primary,intro,website_url
Western Cape,Premier,1,True,"## Vision

To be a leading department enabling the Western Cape Government to improve the quality of life of all its people.



## Mission

To embed good governance and to enable integrated service delivery in the Western Cape through partnerships, innovation and people excellence.",
Western Cape,Provincial Parliament,2,True,"## Vision

A dynamic, effective and efficient parliament supporting constitutional democracy.



## Mission

The parliamentary administration will provide quality parliamentary and corporate support to enable Members to fulfil their constitutional functions and to facilitate public involvement in parliamentary activities.
By:

* providing quality support to the House and committees

* promoting public access and involvement in the law-making and oversight processes

* ensuring effective communication with all stakeholders

* ensuring seamless and synergistic parliamentary processes and systems

* investing in appropriately skilled staff

* providing a secure environment that is conducive to empowering and enabling members and   staff

* implementing and adhering to good corporate governance systems and monitoring mechanisms
 managing resources effectively, efficiently and economically



## Core functions and responsibilities

To provide for:

* procedural and related support to the House and committees to conduct their legislative  and oversight

* functions effectively;

* corporate support to Members and staff to perform their duties effectively;

* the promotion of optimal public participation in parliamentary processes; and

* the promotion of sound administration so as to ensure organisational efficiency.",
Western Cape,Provincial Treasury,3,True,"## Vision

Good financial governance.



## Mission

* To improve governance through:

* Enhancing accountability and oversight;

* Creating public value;

* Enabling delivery of quality services through partnerships; and

* Capacity building in public sector finance.



## Core functions and responsibilities

The core functions, powers and responsibilities of the Provincial Treasury are captured in section 18 of the PFMA and section 5 of the MFMA. To give effect to the National Strategic Outcomes (NSO) 9 and 12 and Provincial Strategic Goal 5 (PSG 5): Embed good governance and integrated service delivery through partnerships and spatial alignment, the branches Fiscal and Economic Services and Governance and Asset Management will execute the following core functions and responsibilities:

* To manage the provincial and municipal fiscal resources effectively;

* To facilitate the effective and efficient management of assets and financial systems; and

* To promote accountability in financial activities and compliance with financial norms and  standards.",
Western Cape,Community Safety,4,True,"## Vision

An open opportunity society for all�towards safer resilient communities.



## Mission

In pursuit of community safety, the Department will promote professional policing through effective oversight as legislated, capacitate safety partnerships with communities and other stakeholders (whole-ofsociety); and promote safety in all public buildings and spaces.



## Core Functions and Main services

* To ensure process excellence to support the Department and related entities in effective  delivery of its mandate.

* To implement the Constitutional and Legislative mandate of provincial oversight over law   enforcement agencies.

* To focus on building community resilience through being actively involved in communities,  in organising,sharing information and resources in an effort to increase safety.

* To develop a common vision and understanding regarding the best manner in which to manage  towards greater safety and security by optimising security related resources services and/or related spend within the Western Cape Government (WCG).
",
Western Cape,Education,5,True,"## Vision

Creating opportunity for all through improved education outcomes.

This is given expression through the three over-arching goals:

* An improvement in the level of language and mathematics in all schools

* An increase in the number and quality of passes in the National Senior Certificate

* An increase in the quality of education provision in poorer communities



## Mission

To provide quality education to all learners in the province through the following:

* Overall planning for, and management of, the education system;

* Education in public ordinary schools;

* Support to independent schools;

* Education in public special schools;

* Early Childhood Development (ECD) in Grade R;

* Training opportunities for teachers;

* A targeted feeding programme and other poverty alleviation and safety measures; and

* Support to teachers through provision of basic conditions of service, incentives and an  employee wellness programme.



## Main Services and Core functions

*Curriculum and Assessment support.

*Administrative and financial support systems.

*Institutional development and support systems, structures and programmes

",
Western Cape,Health,6,True,"## Vision

Access to person-centered quality care.



## Mission

We undertake to provide equitable access to quality health services in partnership with the relevant stakeholders within a balanced and well-managed health system to the people of the Western Cape and beyond.



## Main services and Core functions

Western Cape Government: Health is primarily responsible for providing health services to the population of the Province, approximately 6.4 million of which 75.8 per cent is estimated to be uninsured. Tertiary hospitals are considered to be a national resource and therefore obliged to provide for people beyond the provincial borders, and this is in line with the National Tertiary Services Grant.
The Department will continue to provide a comprehensive, cost-effective package of health services to the people of the Western Cape. This includes preventive, promotive, curative, rehabilitative and palliative care,via:

* District health services including: home and community-based care, clinics, community   day/health centres and district hospitals.

* Provincial, central and specialised hospital services, which include hospitals such as  Tuberculosis,

* Psychiatric and Rehabilitation hospitals.

* Emergency medical and planned patient transport services.

* Forensic pathology: medico-legal and inspector of anatomy services.",
Western Cape,Social Development,7,True,"## Vision

A self-reliant society.



## Mission

To ensure the provision of a comprehensive network of social development services that enables and empowers the poor, the vulnerable and those with special needs.



## Main services and core functions

The department is committed to the following two core functions:

* A Social Welfare Service to the poor and vulnerable in partnership with stakeholders and  civil society organisations; and

* A Community Development Service that provides sustainable developmental programmes, which
 facilitate empowerment of communities.

Working in partnership with communities, stakeholders and civil society organisations to provide the following:

Child care and protection services to approximately 100 000 children in terms of the Children’s Act and Child Justice Act (including children in foster care, adoptions, temporary safe care, child and youth care centres, early childhood development and after-school care services) as well as family and parenting support services to approximately 25 000 families;

* Implementation of programmes for the prevention of and treatment for substance abuse to
 approximately 12 500 people (which includes awareness about foetal alcohol syndrome; early
intervention programmes; services that are regulated by legislation as well as after care programmes);

* Services to support approximately 20 000 victims of violence and trauma (including  shelters services,psycho social support, and support to victims of human trafficking);
* Social crime prevention services to approximately 17 000 people (including probation and diversion services);

* Specialised support services to approximately 80 000 disabled persons, their families and   caregivers and approximately 25 000 older persons including residential care); and

* Emergency social relief and poverty alleviation services, sustainable development and research programmes which facilitate empowerment of communities, based on empirical research and demographic information (including youth development programmes, expansion of youth cafes from three to eight over the MTEF and targeted community nutrition programmes).

",
Western Cape,Human Settlements,8,True,"## Vision

Residents of the Western Cape have access to liveable, accessible, safe, resilient, multi-opportunity settlements.



## Mission

The Department is committed to accelerating delivery, while promoting social cohesion through the development of integrated and sustainable human settlements in an open opportunity society. It aims to:

* Provide settlements that offer good basic and socio-economic services;

* Offer a range of rental and ownership options that respond to the varied needs and incomes of households; and

* Consistently improve settlements through joint citizen and government effort supported by  private sector contributions.



## Main Services and Core functions

The main services of the Department are to:

* Provide overall management in the Department in accordance with all applicable acts and  policies;

* To facilitate and undertake housing delivery and planning;

* To provide individual subsidies and housing opportunities, including access to basic  services, to beneficiaries in accordance with the Housing Code; and

* To provide strategic, effective and efficient management of housing assets.

The core functions and responsibilities of the Department are:

* The planning, promotion and development of integrated and sustainable human settlements;

* Administering housing subsidies and providing technical support for the development of  sustainable human settlements;

* Sensitising the public to the importance of housing as an asset; and

* Facilitating fair relationships in rental housing.

",
Western Cape,Environmental Affairs and Development Planning,9,True,"## Vision

A resilient, sustainable, quality and inclusive living environment.



## Mission

To promote a resilient, sustainable, quality and inclusive living environment in support of human well-being.



## Core functions and responsibilities

The core functions of the Department of Environmental Affairs and Development Planning are to promote
sustainable economic development and social equity by upholding the environmental integrity of the
Western Cape. This will be achieved through:

* Ensuring cohesive and integrated environmental governance;

* Strategically advancing environmental sustainability;

* Sustaining the environmental quality; and

* Ensuring integrated environmental and land management in the Western Cape.",
Western Cape,Transport and Public Works,10,True,"## Vision

To lead in the delivery of government infrastructure and related services.



## Mission

The Department of Transport and Public Works delivers infrastructure and services to promote socioeconomic
outcomes and safe, empowered and connected communities.



## Main Services and Core functions

The core functions of the Department are to deliver a transport system inclusive of the provincial road network; social and economic infrastructure; and to optimally utilise the provincial property portfolio(excluding human settlements property).
Main services of the Department are the following:

* Construction and maintenance of education, health and general buildings facilities and  provincial road network infrastructure.

* Administration and monitoring of motor vehicle licensing, vehicle fitness testing and  driver testing.

* Administration of public transport operating licences.

* Monitoring of subsidised bus services.

* Establishment of subsidised public transport services.

* Offering of bursaries to study in the transport, engineering and built environment sector.

* Construction related skills development.

* Coordination and compliance monitoring of the Expanded Public Works Programme (EPWP).

* Utilisation of the immovable asset portfolio to support Government’s socio economic  objectives.

* Provision of traffic law enforcement services.

* Facilitation of road safety education, communication and awareness.

* Provision of training and development opportunities to traffic policing and other law  enforcement officials.
",
