Vote No#,Department,Programme No#,Programme,Subprogramme No#,Subprogramme,econClass_L1,econClass_L2,econClass_L3,econClass_L4,econClass_L5,IYM_econLowestLevel,Item_Lowest_Level,Assets_Level_1,Assets_Level_2,Assets_Level_3,Assets_Level_4,Assets_Level_5,Assets_Level_6,Assets_Lowest_Level,Project_Level_1,Project_Level_2,Project_Level_3,Project_Level_4,Project_Level_5,Project_Level_6,Project_Level_7,Project_Level_8,Project_Level_9,Project_Level_10,Project_Level_11,Project_Lowest_Level,Responsibility_Level_2,Responsibility_Level_3,Responsibility_Level_4,Responsibility_Level_5,Responsibility_Level_6,Responsibility_Level_7,Responsibility_Level_8,Responsibility_Level_9,Responsibility_Level_10,Responsibility_Level_11,Responsibility_Level_12,Responsibility_Level_13,Responsibility_Level_14,Responsibility_Level_15,Responsibility_Lowest_Level,Fund_Level_1,Fund_Level_2,Fund_Level_3,Fund_Level_4,Fund_Level_5,Fund_Level_6,Fund_Level_7,Fund_Level_8,Fund_Lowest_Level,Infrastructure_Level_1,Infrastructure_Level_2,Infrastructure_Level_3,Infrastructure_Level_4,Infrastructure_Level_5,Infrastructure_Level_6,Infrastructure_Lowest_Level,Item_Level_1,Item_Level_2,Item_Level_3,Item_Level_4,Item_Level_5,Item_Level_6,Item_Level_7,Item_Level_8,Regional_ID_Level_1,Regional_ID_Level_2,Regional_ID_Level_3,Regional_ID_Level_4,Regional_ID_Level_5,Regional_ID_Level_6,Regional_ID_Level_7,Regional_ID_Level_8,Regional_ID_Lowest_Level,Budget,AdjustmentBudget,April,May,June,July,August,September,October,November,December,January,February,March,Q1,Q2,Q3,Q4,Financial_Year
5,Home Affairs,2,Citizen Affairs,5,Service Delivery to Provinces,Current,Current payments,Goods and services,Travel and subsistence,Travel and subsistence,Travel and subsistence,T&S DOM:FOOD&BEVER,NON-ASSETS RELATED,NON-ASSETS RELATED,,,,,NON-ASSETS RELATED,NO PROJECTS,NO PROJECTS,,,,,,,,,,NO PROJECTS,DEPARTMENT HOME AFFAIRS 17,DIRECTOR-GENERAL 17,CITIZEN AFFAIRS 17,EASTERN CAPE 17,EASTERN CAPE 17,DISTR MUN: JOE GQABI 17,MO MT FLETCHER 17,,,,,,,,MO MT FLETCHER 17,EXPENDITURE:VOTED,DEPARTMENTAL APPROPRIATION,VOTED FUNDS DISCRETIONARY,DEPARTMENTAL VOTE,VOTED FUNDS,,,,VOTED FUNDS,EXPENDITURE,NON INFRASTRUCTURE,NON INFRASTRUCTURE: CURRENT,NON INFRASTRUCTURE: CURRENT,NON INFRA/ST ALONE:CURRENT,,NON INFRA/ST ALONE:CURRENT,PAYMENTS,PAYMENTS,GOODS AND SERVICES,TRAVEL AND SUBSISTENCE,T&S DOMESTIC,T&S DOM:FOOD&BEVER,,,REGIONAL IDENTIFIER,NAT FUNCTION:WHOLE COUNTRY DOM,EASTERN CAPE 17,,,,,,EASTERN CAPE 17,0,0,0.8,0,1.28,1.08,0,2.76,1.46,0.92,0,3.16,0,3.08,2.08,3.84,2.38,6.24,2021
5,Home Affairs,2,Citizen Affairs,5,Service Delivery to Provinces,Current,Current payments,Goods and services,Travel and subsistence,Travel and subsistence,Travel and subsistence,T&S DOM:ACCOMMODATION,NON-ASSETS RELATED,NON-ASSETS RELATED,,,,,NON-ASSETS RELATED,NO PROJECTS,NO PROJECTS,,,,,,,,,,NO PROJECTS,DEPARTMENT HOME AFFAIRS 17,DIRECTOR-GENERAL 17,CITIZEN AFFAIRS 17,GAUTENG 17,GAUTENG 17,DISTR MUN: SEBIDENG 17,LO VEREENIGING 17,,,,,,,,LO VEREENIGING 17,EXPENDITURE:VOTED,DEPARTMENTAL APPROPRIATION,VOTED FUNDS DISCRETIONARY,DEPARTMENTAL VOTE,VOTED FUNDS,,,,VOTED FUNDS,EXPENDITURE,NON INFRASTRUCTURE,NON INFRASTRUCTURE: CURRENT,NON INFRASTRUCTURE: CURRENT,NON INFRA/ST ALONE:CURRENT,,NON INFRA/ST ALONE:CURRENT,PAYMENTS,PAYMENTS,GOODS AND SERVICES,TRAVEL AND SUBSISTENCE,T&S DOMESTIC,T&S DOM:ACCOMMODATION,,,REGIONAL IDENTIFIER,NAT FUNCTION:WHOLE COUNTRY DOM,GAUTENG 17,,,,,,GAUTENG 17,0,0,0,0,2.46,0,0,0,3.2825,0,0,0,0,0,2.46,0,3.2825,0,2021
5,Home Affairs,2,Citizen Affairs,5,Service Delivery to Provinces,Current,Current payments,Goods and services,Travel and subsistence,Travel and subsistence,Travel and subsistence,T&S DOM:FOOD&BEVER,NON-ASSETS RELATED,NON-ASSETS RELATED,,,,,NON-ASSETS RELATED,NO PROJECTS,NO PROJECTS,,,,,,,,,,NO PROJECTS,DEPARTMENT HOME AFFAIRS 17,DIRECTOR-GENERAL 17,CITIZEN AFFAIRS 17,FREE STATE 17,FREE STATE 17,DISTR MUN: LEJWELEPUTSWA 17,MO BULTFONTEIN 17,,,,,,,,MO BULTFONTEIN 17,EXPENDITURE:VOTED,DEPARTMENTAL APPROPRIATION,VOTED FUNDS DISCRETIONARY,DEPARTMENTAL VOTE,VOTED FUNDS,,,,VOTED FUNDS,EXPENDITURE,NON INFRASTRUCTURE,NON INFRASTRUCTURE: CURRENT,NON INFRASTRUCTURE: CURRENT,NON INFRA/ST ALONE:CURRENT,,NON INFRA/ST ALONE:CURRENT,PAYMENTS,PAYMENTS,GOODS AND SERVICES,TRAVEL AND SUBSISTENCE,T&S DOMESTIC,T&S DOM:FOOD&BEVER,,,REGIONAL IDENTIFIER,NAT FUNCTION:WHOLE COUNTRY DOM,FREE STATE 17,,,,,,FREE STATE 17,0,0,1.84,4.54,5.2,1.07,0,0,0.32,2.44,1.12,0.36,0,0.36,11.58,1.07,3.88,0.72,2021
5,Home Affairs,2,Citizen Affairs,5,Service Delivery to Provinces,Current,Current payments,Goods and services,Travel and subsistence,Travel and subsistence,Travel and subsistence,T&S DOM:FOOD&BEVER,NON-ASSETS RELATED,NON-ASSETS RELATED,,,,,NON-ASSETS RELATED,NO PROJECTS,NO PROJECTS,,,,,,,,,,NO PROJECTS,DEPARTMENT HOME AFFAIRS 17,DIRECTOR-GENERAL 17,CITIZEN AFFAIRS 17,FREE STATE 17,FREE STATE 17,DISTR MUN: XHARIEP 17,MO ZASTRON 17,,,,,,,,MO ZASTRON 17,EXPENDITURE:VOTED,DEPARTMENTAL APPROPRIATION,VOTED FUNDS DISCRETIONARY,DEPARTMENTAL VOTE,VOTED FUNDS,,,,VOTED FUNDS,EXPENDITURE,NON INFRASTRUCTURE,NON INFRASTRUCTURE: CURRENT,NON INFRASTRUCTURE: CURRENT,NON INFRA/ST ALONE:CURRENT,,NON INFRA/ST ALONE:CURRENT,PAYMENTS,PAYMENTS,GOODS AND SERVICES,TRAVEL AND SUBSISTENCE,T&S DOMESTIC,T&S DOM:FOOD&BEVER,,,REGIONAL IDENTIFIER,NAT FUNCTION:WHOLE COUNTRY DOM,FREE STATE 17,,,,,,FREE STATE 17,0,0,0,5.06,1.55,1.24,0,0,0.52,1.68,0,0,0,0.12,6.61,1.24,2.2,0.12,2021
5,Home Affairs,2,Citizen Affairs,5,Service Delivery to Provinces,Current,Current payments,Goods and services,Travel and subsistence,Travel and subsistence,Travel and subsistence,T&S DOM:ACCOMMODATION,NON-ASSETS RELATED,NON-ASSETS RELATED,,,,,NON-ASSETS RELATED,NO PROJECTS,NO PROJECTS,,,,,,,,,,NO PROJECTS,DEPARTMENT HOME AFFAIRS 17,DIRECTOR-GENERAL 17,CITIZEN AFFAIRS 17,KWAZULU-NATAL 17,KWAZULU-NATAL 17,DISTR MUN: UMGUNGUNDLOVU 17,DMO UMGUNGUNDLOVU 17,,,,,,,,DMO UMGUNGUNDLOVU 17,EXPENDITURE:VOTED,DEPARTMENTAL APPROPRIATION,VOTED FUNDS DISCRETIONARY,DEPARTMENTAL VOTE,VOTED FUNDS,,,,VOTED FUNDS,EXPENDITURE,NON INFRASTRUCTURE,NON INFRASTRUCTURE: CURRENT,NON INFRASTRUCTURE: CURRENT,NON INFRA/ST ALONE:CURRENT,,NON INFRA/ST ALONE:CURRENT,PAYMENTS,PAYMENTS,GOODS AND SERVICES,TRAVEL AND SUBSISTENCE,T&S DOMESTIC,T&S DOM:ACCOMMODATION,,,REGIONAL IDENTIFIER,NAT FUNCTION:WHOLE COUNTRY DOM,KWAZULU-NATAL 17,,,,,,KWAZULU-NATAL 17,0,0,0,5.76,13.68,2865,0,55.6,4.32,10.9554,12.69,17.17148,17.7687,4.28,19.44,58465,27.9654,39.22018,2021
5,Home Affairs,2,Citizen Affairs,5,Service Delivery to Provinces,Current,Current payments,Goods and services,Travel and subsistence,Travel and subsistence,Travel and subsistence,T&S DOM:FOOD&BEVER,NON-ASSETS RELATED,NON-ASSETS RELATED,,,,,NON-ASSETS RELATED,NO PROJECTS,NO PROJECTS,,,,,,,,,,NO PROJECTS,DEPARTMENT HOME AFFAIRS 17,DIRECTOR-GENERAL 17,CITIZEN AFFAIRS 17,EASTERN CAPE 17,EASTERN CAPE 17,METRO MUN: BUFFALO CITY 17,LO EAST LONDON 17,,,,,,,,LO EAST LONDON 17,EXPENDITURE:VOTED,DEPARTMENTAL APPROPRIATION,VOTED FUNDS DISCRETIONARY,DEPARTMENTAL VOTE,VOTED FUNDS,,,,VOTED FUNDS,EXPENDITURE,NON INFRASTRUCTURE,NON INFRASTRUCTURE: CURRENT,NON INFRASTRUCTURE: CURRENT,NON INFRA/ST ALONE:CURRENT,,NON INFRA/ST ALONE:CURRENT,PAYMENTS,PAYMENTS,GOODS AND SERVICES,TRAVEL AND SUBSISTENCE,T&S DOMESTIC,T&S DOM:FOOD&BEVER,,,REGIONAL IDENTIFIER,NAT FUNCTION:WHOLE COUNTRY DOM,EASTERN CAPE 17,,,,,,EASTERN CAPE 17,0,0,1.29,0,0.96,1.92,0.64,0,2.46,4.5,5.35,1.64,5.6,4.51,2.25,2.56,12.31,11.75,2021
5,Home Affairs,2,Citizen Affairs,5,Service Delivery to Provinces,Current,Current payments,Goods and services,Travel and subsistence,Travel and subsistence,Travel and subsistence,T&S DOM:ACCOMMODATION,NON-ASSETS RELATED,NON-ASSETS RELATED,,,,,NON-ASSETS RELATED,NO PROJECTS,NO PROJECTS,,,,,,,,,,NO PROJECTS,DEPARTMENT HOME AFFAIRS 17,DIRECTOR-GENERAL 17,CITIZEN AFFAIRS 17,KWAZULU-NATAL 17,KWAZULU-NATAL 17,DISTR MUN: UMZIMYATHI 17,MO UMSINGA 17,,,,,,,,MO UMSINGA 17,EXPENDITURE:VOTED,DEPARTMENTAL APPROPRIATION,VOTED FUNDS DISCRETIONARY,DEPARTMENTAL VOTE,VOTED FUNDS,,,,VOTED FUNDS,EXPENDITURE,NON INFRASTRUCTURE,NON INFRASTRUCTURE: CURRENT,NON INFRASTRUCTURE: CURRENT,NON INFRA/ST ALONE:CURRENT,,NON INFRA/ST ALONE:CURRENT,PAYMENTS,PAYMENTS,GOODS AND SERVICES,TRAVEL AND SUBSISTENCE,T&S DOMESTIC,T&S DOM:ACCOMMODATION,,,REGIONAL IDENTIFIER,NAT FUNCTION:WHOLE COUNTRY DOM,KWAZULU-NATAL 17,,,,,,KWAZULU-NATAL 17,0,0,0,2.85148,1.42574,0,0,7.96,1.42574,0,19.98888,-5.25444,0,2.8,4.27722,7.96,21.41462,-2.45444,2021
5,Home Affairs,2,Citizen Affairs,5,Service Delivery to Provinces,Current,Current payments,Goods and services,Travel and subsistence,Travel and subsistence,Travel and subsistence,T&S DOM:SPECIAL DAILY ALLOWANCE,NON-ASSETS RELATED,NON-ASSETS RELATED,,,,,NON-ASSETS RELATED,NO PROJECTS,NO PROJECTS,,,,,,,,,,NO PROJECTS,DEPARTMENT HOME AFFAIRS 17,DIRECTOR-GENERAL 17,CITIZEN AFFAIRS 17,WESTERN CAPE 17,WESTERN CAPE 17,METRO MUN: CAPE TOWN 17,LO CAPE TOWN 17,,,,,,,,LO CAPE TOWN 17,EXPENDITURE:VOTED,DEPARTMENTAL APPROPRIATION,VOTED FUNDS DISCRETIONARY,DEPARTMENTAL VOTE,VOTED FUNDS,,,,VOTED FUNDS,EXPENDITURE,NON INFRASTRUCTURE,NON INFRASTRUCTURE: CURRENT,NON INFRASTRUCTURE: CURRENT,NON INFRA/ST ALONE:CURRENT,,NON INFRA/ST ALONE:CURRENT,PAYMENTS,PAYMENTS,GOODS AND SERVICES,TRAVEL AND SUBSISTENCE,T&S DOMESTIC,T&S:DOM:DAILY ALLOWANCE,T&S DOM:SPECIAL DAILY ALLOWANCE,,REGIONAL IDENTIFIER,NAT FUNCTION:WHOLE COUNTRY DOM,WESTERN CAPE 17,,,,,,WESTERN CAPE 17,0,0,0,0,1104,0,0,0,0,2478,324,0,0,4158,1104,0,2802,4158,2021
5,Home Affairs,2,Citizen Affairs,5,Service Delivery to Provinces,Current,Current payments,Goods and services,Travel and subsistence,Travel and subsistence,Travel and subsistence,T&S DOM:FOOD&BEVER,NON-ASSETS RELATED,NON-ASSETS RELATED,,,,,NON-ASSETS RELATED,NO PROJECTS,NO PROJECTS,,,,,,,,,,NO PROJECTS,DEPARTMENT HOME AFFAIRS 17,DIRECTOR-GENERAL 17,CITIZEN AFFAIRS 17,FREE STATE 17,FREE STATE 17,DISTR MUN: T MOFUTSANYANE 17,LO PHUTHADITJABA 17,,,,,,,,LO PHUTHADITJABA 17,EXPENDITURE:VOTED,DEPARTMENTAL APPROPRIATION,VOTED FUNDS DISCRETIONARY,DEPARTMENTAL VOTE,VOTED FUNDS,,,,VOTED FUNDS,EXPENDITURE,NON INFRASTRUCTURE,NON INFRASTRUCTURE: CURRENT,NON INFRASTRUCTURE: CURRENT,NON INFRA/ST ALONE:CURRENT,,NON INFRA/ST ALONE:CURRENT,PAYMENTS,PAYMENTS,GOODS AND SERVICES,TRAVEL AND SUBSISTENCE,T&S DOMESTIC,T&S DOM:FOOD&BEVER,,,REGIONAL IDENTIFIER,NAT FUNCTION:WHOLE COUNTRY DOM,FREE STATE 17,,,,,,FREE STATE 17,0,0,0.56,9.45,6.16,8.86,0.77,0,1.36,13.75,0,4.19,0.81,7.88,16.17,9.63,15.11,12.88,2021
5,Home Affairs,2,Citizen Affairs,5,Service Delivery to Provinces,Current,Current payments,Goods and services,Travel and subsistence,Travel and subsistence,Travel and subsistence,T&S DOM:FOOD&BEVER,NON-ASSETS RELATED,NON-ASSETS RELATED,,,,,NON-ASSETS RELATED,NO PROJECTS,NO PROJECTS,,,,,,,,,,NO PROJECTS,DEPARTMENT HOME AFFAIRS 17,DIRECTOR-GENERAL 17,CITIZEN AFFAIRS 17,KWAZULU-NATAL 17,KWAZULU-NATAL 17,DISTR MUN: UGU 17,DMO UGU 17,,,,,,,,DMO UGU 17,EXPENDITURE:VOTED,DEPARTMENTAL APPROPRIATION,VOTED FUNDS DISCRETIONARY,DEPARTMENTAL VOTE,VOTED FUNDS,,,,VOTED FUNDS,EXPENDITURE,NON INFRASTRUCTURE,NON INFRASTRUCTURE: CURRENT,NON INFRASTRUCTURE: CURRENT,NON INFRA/ST ALONE:CURRENT,,NON INFRA/ST ALONE:CURRENT,PAYMENTS,PAYMENTS,GOODS AND SERVICES,TRAVEL AND SUBSISTENCE,T&S DOMESTIC,T&S DOM:FOOD&BEVER,,,REGIONAL IDENTIFIER,NAT FUNCTION:WHOLE COUNTRY DOM,KWAZULU-NATAL 17,,,,,,KWAZULU-NATAL 17,0,0,0,1.46,1.78,0,0.98,0,0,0,0,0,0,0,3.24,0.98,0,0,2021
